Production date,Plant,Work center,Material,Material Description,Production in PHCs,,
1/13/2024,3003,PRD-02,290-130,SPRITE RB250,"6,032",,
1/13/2024,3005,PRD-03,104-320,CC RPET1LT 1X6 PROMO,"54,382",,
1/13/2024,3006,PRD-03,104-320,CC RPET1LT 1X6 PROMO,"86,705",,
1/13/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"32,318",,
1/13/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"11,934",,
1/13/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"86,086",,
1/13/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"33,852",,
1/13/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"10,686",,
1/13/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"51,542",,
1/13/2024,3002,PRD-06,104-130,COCA-COLA PET 2.25LTR,"46,842",,
1/13/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"43,243",,
1/13/2024,3007,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"52,153",,
1/13/2024,3002,PRD-07,731-404,CC ZERO SGR PET500ML 1X12-KN,"29,630",,
1/13/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"17,030",,
1/13/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
1/13/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"88,764",,
1/13/2024,3012,TPRD-01,103-541,COCA-COLA  PET 1.5L /6,"8,580",,
1/13/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"18,135",,
1/13/2024,3006,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"8,463",,
1/13/2024,3004,TPRD-1,294-600,SPRITE CAN250ML 1X12,"26,696",,
1/14/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"8,502",,
1/14/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"8,451",,
1/14/2024,3007,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"3,089",,
1/14/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,"44,616",,
1/14/2024,3004,PRD-02,104-302,COCA-COLA 1.0L 6BPET PROMO,"37,565",,
1/14/2024,3005,PRD-02,108-400,COCA-COLA  PET 750ML 1X6,"2,020",,
1/14/2024,3005,PRD-03,104-320,CC RPET1LT 1X6 PROMO,"35,599",,
1/14/2024,3006,PRD-03,104-320,CC RPET1LT 1X6 PROMO,"4,805",,
1/14/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"29,458",,
1/14/2024,3006,PRD-03,294-300,SPRITE PET1L 1X6,"5,242",,
1/14/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"3,822",,
1/14/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"5,036",,
1/14/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"32,460",,
1/14/2024,3002,PRD-06,104-130,COCA-COLA PET 2.25LTR,"21,120",,
1/14/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"29,702",,
1/14/2024,3007,PRD-06,294-300,SPRITE PET1L 1X6,"9,434",,
1/14/2024,3002,PRD-07,731-404,CC ZERO SGR PET500ML 1X12-KN,"5,330",,
1/14/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"8,970",,
1/14/2024,3012,TPRD-01,103-541,COCA-COLA  PET 1.5L /6,"96,239",,
